rm,time
,2021-11-18T00:00:40.788+00:00
,2021-11-18T00:04:40.804+00:00
,2021-11-18T00:08:40.874+00:00
1466.7,2021-11-18T00:12:40.809+00:00
1456.7,2021-11-18T00:16:40.891+00:00
1447.1,2021-11-18T00:20:40.802+00:00
1446.0,2021-11-18T00:24:40.88+00:00
1448.3,2021-11-18T00:28:40.868+00:00
1453.2,2021-11-18T00:32:40.876+00:00
1458.1,2021-11-18T00:36:41.102+00:00
1455.7,2021-11-18T00:40:40.905+00:00
1444.2,2021-11-18T00:44:40.796+00:00
1444.7,2021-11-18T00:48:40.795+00:00
1444.6,2021-11-18T00:52:40.857+00:00
1444.2,2021-11-18T00:56:40.8+00:00
1454.0,2021-11-18T01:00:40.87+00:00
1461.4,2021-11-18T01:04:40.844+00:00
1457.9,2021-11-18T01:08:41.185+00:00
1445.0,2021-11-18T01:12:40.869+00:00
1433.1,2021-11-18T01:16:40.806+00:00
1432.7,2021-11-18T01:20:40.878+00:00
1435.0,2021-11-18T01:24:40.87+00:00
1438.0,2021-11-18T01:28:40.881+00:00
1436.6,2021-11-18T01:32:40.978+00:00
1435.8,2021-11-18T01:36:40.804+00:00
1436.8,2021-11-18T01:40:40.862+00:00
1436.2,2021-11-18T01:44:40.876+00:00
1438.2,2021-11-18T01:48:40.881+00:00
1477.5,2021-11-18T01:52:40.87+00:00
1488.8,2021-11-18T01:56:40.975+00:00
1471.3,2021-11-18T02:00:40.892+00:00
1445.3,2021-11-18T02:04:40.965+00:00
1436.3,2021-11-18T02:08:40.894+00:00
1446.2,2021-11-18T02:12:40.909+00:00
1448.2,2021-11-18T02:16:40.864+00:00
1464.3,2021-11-18T09:58:41.562+00:00
1524.8,2021-11-18T10:02:41.647+00:00
1571.0,2021-11-18T10:06:41.796+00:00
1557.1,2021-11-18T10:10:41.612+00:00
1550.5,2021-11-18T10:14:41.798+00:00
1554.2,2021-11-18T10:18:41.607+00:00
1566.1,2021-11-18T10:22:41.508+00:00
1568.6,2021-11-18T10:26:41.705+00:00
1574.6,2021-11-18T10:30:41.51+00:00
1568.6,2021-11-18T10:34:41.648+00:00
1569.5,2021-11-18T10:38:41.662+00:00
1568.4,2021-11-18T10:42:41.628+00:00
1594.3,2021-11-18T10:46:41.63+00:00
1605.5,2021-11-18T10:50:41.783+00:00
1611.8,2021-11-18T10:54:41.72+00:00
1606.2,2021-11-18T10:58:41.671+00:00
1615.9,2021-11-18T11:02:42.102+00:00
1598.9,2021-11-18T11:06:41.701+00:00
1569.5,2021-11-18T11:10:41.687+00:00
1556.2,2021-11-18T11:14:41.654+00:00
1559.9,2021-11-18T11:18:41.709+00:00
1578.0,2021-11-18T11:22:41.942+00:00
1576.8,2021-11-18T11:26:44.796+00:00
1583.1,2021-11-18T11:30:42.136+00:00
1553.0,2021-11-18T11:34:41.691+00:00
1542.2,2021-11-18T11:38:41.762+00:00
1547.8,2021-11-18T11:42:41.676+00:00
1551.4,2021-11-18T11:46:41.686+00:00
1555.6,2021-11-18T11:50:41.729+00:00
1546.1,2021-11-18T11:54:44.5+00:00
1543.4,2021-11-18T11:58:41.804+00:00
1554.1,2021-11-18T12:02:41.889+00:00
1564.9,2021-11-18T12:06:41.854+00:00
1566.0,2021-11-18T12:10:41.68+00:00
1591.8,2021-11-18T12:14:41.752+00:00
1588.1,2021-11-18T12:18:41.73+00:00
1578.0,2021-11-18T12:22:41.89+00:00
1571.7,2021-11-18T12:26:41.83+00:00
1566.6,2021-11-18T12:30:41.782+00:00
1557.0,2021-11-18T12:34:41.952+00:00
1544.3,2021-11-18T12:38:41.84+00:00
1547.9,2021-11-18T12:42:41.901+00:00
1558.9,2021-11-18T12:46:41.834+00:00
1552.6,2021-11-18T12:50:41.875+00:00
1548.2,2021-11-18T12:54:41.902+00:00
1538.5,2021-11-18T12:58:42.162+00:00
1542.7,2021-11-18T13:02:42.694+00:00
1553.1,2021-11-18T13:06:42.31+00:00
1551.1,2021-11-18T13:10:42.27+00:00
1535.5,2021-11-18T13:14:42.739+00:00
1540.4,2021-11-18T13:18:42.165+00:00
1523.2,2021-11-18T13:22:41.779+00:00
1504.4,2021-11-18T13:26:42.268+00:00
1539.6,2021-11-18T13:30:42.095+00:00
1550.5,2021-11-18T13:34:41.908+00:00
1548.7,2021-11-18T13:38:41.997+00:00
1547.1,2021-11-18T13:42:42.092+00:00
1561.7,2021-11-18T13:46:41.905+00:00
1573.8,2021-11-18T13:50:42.14+00:00
1576.1,2021-11-18T13:54:41.847+00:00
1569.9,2021-11-18T13:58:41.895+00:00
1576.5,2021-11-18T14:02:41.952+00:00
1571.1,2021-11-18T14:06:42.094+00:00
1570.4,2021-11-18T14:10:41.915+00:00
1574.3,2021-11-18T14:14:41.878+00:00
1578.4,2021-11-18T14:18:41.914+00:00
1590.8,2021-11-18T14:22:42.043+00:00
1579.1,2021-11-18T14:26:41.911+00:00
1556.5,2021-11-18T14:30:41.909+00:00
1542.3,2021-11-18T14:34:41.905+00:00
1549.4,2021-11-18T14:38:41.922+00:00
1562.6,2021-11-18T14:42:42.003+00:00
1569.3,2021-11-18T14:46:42.008+00:00
1552.6,2021-11-18T14:50:41.928+00:00
1544.6,2021-11-18T14:54:42.073+00:00
1543.6,2021-11-18T14:58:41.893+00:00
1550.5,2021-11-18T15:02:41.997+00:00
1562.1,2021-11-18T15:06:42.001+00:00
1574.4,2021-11-18T15:10:42.168+00:00
1580.0,2021-11-18T15:14:41.995+00:00
1564.5,2021-11-18T15:18:42.023+00:00
1545.7,2021-11-18T15:22:41.932+00:00
1523.4,2021-11-18T15:26:42.104+00:00
1515.8,2021-11-18T15:30:42.101+00:00
1495.9,2021-11-18T15:34:42.129+00:00
1489.6,2021-11-18T15:38:42.01+00:00
1469.3,2021-11-18T15:42:42.192+00:00
1479.5,2021-11-18T15:46:42.039+00:00
1499.3,2021-11-18T15:50:42.15+00:00
1526.5,2021-11-18T15:54:42.163+00:00
1526.5,2021-11-18T15:58:42.027+00:00
