rm,time
,2021-11-18T00:04:23.093+00:00
,2021-11-18T00:08:23.096+00:00
1424.7,2021-11-18T01:25:23.271+00:00
1426.9,2021-11-18T01:29:23.371+00:00
1419.4,2021-11-18T01:33:23.346+00:00
1419.2,2021-11-18T01:37:23.319+00:00
1413.6,2021-11-18T01:41:23.482+00:00
1410.0,2021-11-18T01:45:23.34+00:00
1417.9,2021-11-18T01:49:23.377+00:00
1422.4,2021-11-18T01:53:23.601+00:00
1423.6,2021-11-18T01:57:23.464+00:00
1424.8,2021-11-18T02:01:23.376+00:00
1437.0,2021-11-18T02:05:23.466+00:00
1445.8,2021-11-18T02:09:23.451+00:00
1450.1,2021-11-18T02:13:23.507+00:00
1440.3,2021-11-18T02:17:23.487+00:00
1423.5,2021-11-18T02:21:23.494+00:00
1414.1,2021-11-18T02:25:23.487+00:00
1416.7,2021-11-18T02:29:23.491+00:00
1419.0,2021-11-18T02:33:23.498+00:00
1419.4,2021-11-18T02:37:23.484+00:00
1414.1,2021-11-18T02:41:23.585+00:00
1408.9,2021-11-18T02:45:23.544+00:00
1416.9,2021-11-18T02:49:23.535+00:00
1419.7,2021-11-18T02:53:23.789+00:00
1418.7,2021-11-18T02:57:23.575+00:00
1431.4,2021-11-18T03:01:23.58+00:00
1433.7,2021-11-18T03:05:23.607+00:00
1421.0,2021-11-18T03:09:23.562+00:00
1419.7,2021-11-18T03:13:23.57+00:00
1424.4,2021-11-18T03:17:23.612+00:00
1434.4,2021-11-18T03:21:23.589+00:00
1443.6,2021-11-18T03:25:23.625+00:00
1427.0,2021-11-18T03:29:23.873+00:00
1428.7,2021-11-18T03:33:23.696+00:00
1425.1,2021-11-18T03:37:23.666+00:00
1420.7,2021-11-18T03:41:23.684+00:00
1420.9,2021-11-18T03:45:23.676+00:00
1427.2,2021-11-18T03:49:23.697+00:00
1430.4,2021-11-18T03:53:23.814+00:00
1441.2,2021-11-18T03:57:23.672+00:00
1442.1,2021-11-18T04:01:23.671+00:00
1441.5,2021-11-18T04:05:23.812+00:00
1438.5,2021-11-18T04:09:23.683+00:00
1441.8,2021-11-18T04:13:23.685+00:00
1442.5,2021-11-18T04:17:23.761+00:00
1446.8,2021-11-18T04:21:23.708+00:00
1437.3,2021-11-18T04:25:23.777+00:00
1436.0,2021-11-18T04:29:23.776+00:00
1443.8,2021-11-18T04:33:23.778+00:00
1445.9,2021-11-18T04:37:23.785+00:00
1457.3,2021-11-18T04:41:23.991+00:00
1496.7,2021-11-18T04:45:23.791+00:00
1533.6,2021-11-18T04:49:23.78+00:00
1549.0,2021-11-18T04:53:23.855+00:00
1480.3,2021-11-18T04:57:23.889+00:00
1464.2,2021-11-18T05:01:23.789+00:00
1452.2,2021-11-18T05:05:23.896+00:00
1454.7,2021-11-18T05:09:23.859+00:00
1469.8,2021-11-18T05:13:23.877+00:00
1511.4,2021-11-18T05:17:24.018+00:00
1503.1,2021-11-18T05:21:23.891+00:00
1510.5,2021-11-18T05:25:23.983+00:00
1529.0,2021-11-18T05:29:23.897+00:00
1535.5,2021-11-18T05:33:23.892+00:00
1510.0,2021-11-18T05:37:23.977+00:00
1533.3,2021-11-18T05:41:23.948+00:00
1522.2,2021-11-18T05:45:23.981+00:00
1486.1,2021-11-18T05:49:23.955+00:00
1483.8,2021-11-18T05:53:24.167+00:00
1488.4,2021-11-18T05:57:24.003+00:00
1507.3,2021-11-18T06:01:23.945+00:00
1503.3,2021-11-18T06:05:24.01+00:00
1500.1,2021-11-18T06:09:24.006+00:00
1488.6,2021-11-18T06:13:23.97+00:00
1509.0,2021-11-18T06:17:24.002+00:00
1526.8,2021-11-18T06:21:23.997+00:00
1525.6,2021-11-18T06:25:24.087+00:00
1495.7,2021-11-18T06:29:24.062+00:00
1498.4,2021-11-18T06:33:24.051+00:00
1530.1,2021-11-18T06:37:24.001+00:00
1534.9,2021-11-18T06:41:24.1+00:00
1535.6,2021-11-18T06:45:23.991+00:00
1521.8,2021-11-18T06:49:24.067+00:00
1525.9,2021-11-18T06:53:24.155+00:00
1533.7,2021-11-18T06:57:24.082+00:00
1558.5,2021-11-18T07:01:24.093+00:00
1574.5,2021-11-18T07:05:24.197+00:00
1553.4,2021-11-18T07:09:24.067+00:00
1555.1,2021-11-18T07:13:24.071+00:00
1519.7,2021-11-18T07:17:24.225+00:00
1518.4,2021-11-18T07:21:24.106+00:00
1517.0,2021-11-18T07:25:24.095+00:00
1516.9,2021-11-18T07:29:24.197+00:00
1523.6,2021-11-18T07:33:24.094+00:00
1522.3,2021-11-18T07:37:24.197+00:00
1528.2,2021-11-18T07:41:24.405+00:00
1540.3,2021-11-18T07:45:24.211+00:00
1551.7,2021-11-18T07:49:24.212+00:00
1544.1,2021-11-18T07:53:24.304+00:00
1541.0,2021-11-18T07:57:24.295+00:00
1555.4,2021-11-18T08:01:24.333+00:00
1546.5,2021-11-18T08:05:24.311+00:00
1542.2,2021-11-18T08:09:24.308+00:00
1535.9,2021-11-18T08:13:24.275+00:00
1533.3,2021-11-18T08:17:24.302+00:00
1521.2,2021-11-18T08:21:24.322+00:00
1511.6,2021-11-18T08:25:24.293+00:00
1504.1,2021-11-18T08:29:24.489+00:00
1499.5,2021-11-18T08:33:24.33+00:00
1511.0,2021-11-18T08:37:24.324+00:00
1527.1,2021-11-18T08:41:24.397+00:00
1515.5,2021-11-18T08:45:24.4+00:00
1502.8,2021-11-18T08:49:24.452+00:00
1494.5,2021-11-18T08:53:26.689+00:00
1495.6,2021-11-18T08:57:24.394+00:00
1514.6,2021-11-18T09:01:24.379+00:00
1533.1,2021-11-18T09:05:24.412+00:00
1519.0,2021-11-18T09:09:24.427+00:00
1522.1,2021-11-18T09:13:24.404+00:00
1532.9,2021-11-18T09:17:24.558+00:00
1539.4,2021-11-18T09:21:24.414+00:00
1521.6,2021-11-18T09:25:24.454+00:00
1528.8,2021-11-18T09:29:24.476+00:00
1536.8,2021-11-18T09:33:24.458+00:00
1535.5,2021-11-18T09:37:24.503+00:00
1542.1,2021-11-18T09:41:24.556+00:00
1545.2,2021-11-18T09:45:24.489+00:00
1526.7,2021-11-18T09:49:24.576+00:00
1530.2,2021-11-18T09:53:24.732+00:00
1517.3,2021-11-18T09:57:24.498+00:00
1514.3,2021-11-18T10:01:24.57+00:00
1515.4,2021-11-18T10:05:24.608+00:00
1525.7,2021-11-18T10:09:24.585+00:00
1543.6,2021-11-18T10:13:24.578+00:00
1542.0,2021-11-18T10:17:24.584+00:00
1531.8,2021-11-18T10:21:24.617+00:00
1552.1,2021-11-18T10:25:24.616+00:00
1529.8,2021-11-18T10:29:24.626+00:00
1521.1,2021-11-18T10:33:24.601+00:00
1524.1,2021-11-18T10:37:24.892+00:00
1538.9,2021-11-18T10:41:24.705+00:00
1551.5,2021-11-18T10:45:24.713+00:00
1570.7,2021-11-18T10:49:24.724+00:00
1547.3,2021-11-18T10:53:24.845+00:00
1528.0,2021-11-18T10:57:24.802+00:00
1539.2,2021-11-18T11:01:24.79+00:00
1566.2,2021-11-18T11:05:24.693+00:00
1574.2,2021-11-18T11:09:24.942+00:00
1568.3,2021-11-18T11:13:24.697+00:00
1559.7,2021-11-18T11:17:24.738+00:00
1566.0,2021-11-18T11:21:24.777+00:00
1554.1,2021-11-18T11:25:24.845+00:00
1578.7,2021-11-18T11:29:24.813+00:00
1587.4,2021-11-18T11:33:24.885+00:00
1558.7,2021-11-18T11:37:24.745+00:00
1538.7,2021-11-18T11:41:24.9+00:00
1537.9,2021-11-18T11:45:24.805+00:00
1553.6,2021-11-18T11:49:24.868+00:00
1556.6,2021-11-18T11:53:24.871+00:00
1558.3,2021-11-18T11:57:24.932+00:00
1570.2,2021-11-18T12:01:24.834+00:00
1569.9,2021-11-18T12:05:24.811+00:00
1561.0,2021-11-18T12:09:24.906+00:00
1525.2,2021-11-18T12:13:24.912+00:00
1507.0,2021-11-18T12:17:24.896+00:00
1510.4,2021-11-18T12:21:25.007+00:00
1502.3,2021-11-18T12:25:24.922+00:00
1531.7,2021-11-18T12:29:24.919+00:00
1537.7,2021-11-18T12:33:24.906+00:00
1539.2,2021-11-18T12:37:24.927+00:00
1536.5,2021-11-18T12:41:24.983+00:00
1542.6,2021-11-18T12:45:24.993+00:00
1543.0,2021-11-18T12:49:24.992+00:00
1522.0,2021-11-18T12:53:24.986+00:00
1533.5,2021-11-18T12:57:25.056+00:00
1553.6,2021-11-18T13:01:25.152+00:00
1552.3,2021-11-18T13:05:25.104+00:00
1547.2,2021-11-18T13:09:24.998+00:00
1547.0,2021-11-18T13:13:24.994+00:00
1543.9,2021-11-18T13:17:24.991+00:00
1554.8,2021-11-18T13:21:25.152+00:00
1546.2,2021-11-18T13:25:25.022+00:00
1544.6,2021-11-18T13:29:24.991+00:00
1546.4,2021-11-18T13:33:25.043+00:00
1543.6,2021-11-18T13:37:25.077+00:00
1544.9,2021-11-18T13:41:25.187+00:00
,2021-11-19T01:41:25.187+00:00
